store_view_code,attribute_set_name,attribute_group_name,entity_type_code,attribute_code,attribute_model,backend_model,backend_type,backend_table,frontend_model,frontend_input,frontend_label,frontend_class,source_model,attribute_option_values,attribute_option_swatch,attribute_option_sort_order,frontend_input_renderer,apply_to,display_pattern,is_required,is_user_defined,default_value,is_unique,note,sort_order,is_global,is_visible,is_searchable,is_filterable,is_comparable,is_visible_on_front,is_html_allowed_on_front,is_used_for_price_rules,is_filterable_in_search,used_in_product_listing,used_for_sort_by,is_visible_in_advanced_search,position,is_wysiwyg_enabled,is_used_for_promo_rules,is_required_in_admin_store,is_used_in_grid,is_visible_in_grid,is_filterable_in_grid,search_weigh,additional_data,is_used_in_autocomplete,is_displayed_in_autocomplete,is_used_in_spellcheck,facet_min_coverage_rate,facet_max_size,facet_sort_order,display_precision
"","Bag,Bottom,Gear,Sprite Stasis Ball,Sprite Yoga Strap,Top","Product Details,Product Details,Product Details,Product Details,Product Details,Product Details",catalog_product,material,,Magento\Eav\Model\Entity\Attribute\Backend\ArrayBackend,varchar,,,multiselect,Material,,,"Canvas,Cotton,Mesh,Polyester,Nylon,Leather,Suede,Burlap,Rayon,Plastic,Rubber,Synthetic,Foam,Metal,Silicone,Stainless Steel,Cocona&reg; performance fabric,Hemp,Spandex,Organic Cotton,HeatTec&reg;,EverCool&trade;,Lycra&reg;,Microfiber,CoolTech&trade;,LumaTech&trade;,Wool,Fleece,Linen,Jersey,TENCEL",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Bag,Bottom,Gear,Top","Product Details,Product Details,Product Details,Product Details",catalog_product,new,,,int,,,boolean,New,,Magento\Eav\Model\Entity\Attribute\Source\Boolean,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Bottom,Top","Product Details,Product Details",catalog_product,pattern,,Magento\Eav\Model\Entity\Attribute\Backend\ArrayBackend,varchar,,,multiselect,Pattern,,,"Solid,Checked,Striped,Color-Blocked,Solid-Highlight,Graphic Print",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Bag,Bottom,Top","Product Details,Product Details,Product Details",catalog_product,performance_fabric,,,int,,,boolean,Performance Fabric,,Magento\Eav\Model\Entity\Attribute\Source\Boolean,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Gift Card,Product Details,catalog_product,purpose,,,int,,,select,Purpose,,Magento\Eav\Model\Entity\Attribute\Source\Table,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Bag,Bottom,Gear,Top","Product Details,Product Details,Product Details,Product Details",catalog_product,sale,,,int,,,boolean,Sale,,Magento\Eav\Model\Entity\Attribute\Source\Boolean,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Bottom,Sprite Stasis Ball,Sprite Yoga Strap,Top","Product Details,Product Details,Product Details,Product Details",catalog_product,size,,,int,,,select,Size,,,"55 cm,65 cm,75 cm,6 foot,8 foot,10 foot,XS,S,M,L,XL,32,33,34,36,28,29,30,31",,,,,,,1,65 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Top,Product Details,catalog_product,sleeve,,Magento\Eav\Model\Entity\Attribute\Backend\ArrayBackend,varchar,,,multiselect,Sleeve,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Bag,Product Details,catalog_product,strap_bags,,Magento\Eav\Model\Entity\Attribute\Backend\ArrayBackend,varchar,,,multiselect,Strap/Handle,,,"Custom,Adjustable,Cross Body,Padded,Shoulder,Single,Double,Detachable,Telescoping",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Bag,Product Details,catalog_product,style_bags,,Magento\Eav\Model\Entity\Attribute\Backend\ArrayBackend,varchar,,,multiselect,Style Bags,,,"Messenger,Exercise,Tote,Backpack,Laptop,Luggage,Duffel",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Bottom,Product Details,catalog_product,style_bottom,,Magento\Eav\Model\Entity\Attribute\Backend\ArrayBackend,varchar,,,multiselect,Style Bottom,,,"Sweatpants,Parachute,Track Pants,Leggings,Capri,Compression,Base Layer,Basic,Snug,Workout Pants,Tights",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Top,Product Details,catalog_product,style_general,,Magento\Eav\Model\Entity\Attribute\Backend\ArrayBackend,varchar,,,multiselect,Style General,,,"Tee,Bra,Tank,Camisole,Pullover,Hoodie,Sweatshirt,Full Zip,Jacket,Hooded,Soft Shell,Lightweight,Windbreaker,&frac14; zip,Insulated,Rain Coat,Hard Shell,Reversible,Heavy Duty",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
